token_addr,holder_addr,balance,rel_to_total
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0x4f1312c337a01e0b4a396db813b718ec0a071bf9,180000.0,0.07869721482687006
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0x12b6b076b169ca1d25b7ac5dec436ea8067b0cf6,172670.40666627,0.07549266715365816
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xdb878e59838ef81029f731ae6c03cf2288d309b5,60000.0,0.02623240494229002
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xe57c1c0df7dca576b732353baa72d8a392f6be4e,40353.217631911,0.01764269909407745
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xaefb5673b4d269a1e57ce53696f4163882226a55,39287.313036482,0.017176678411125097
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xa737880c48e2b2ab44f86cfc92d4e5f8dddd495c,30000.0,0.01311620247114501
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xe15863985be0c9fb9d590e2d1d6486a551d63e06,28208.350083047,0.012332881035539487
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xc18f67f3a425de5cc2adbb15f442ac2c933c176f,27067.0,0.011833875076216067
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xba9c5381903a38ff6686a0c39512b03dac609107,23184.849175745,0.010136572535067697
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0x64804d40659c5cf9316b08cef9a13884a1d26032,22538.0,0.009853765709822208
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0x6b359c5a881496c3a136d3943cb6a5372e59074e,16000.0,0.006995307984610673
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xc7a7a81494741718f0f80cbe056586f30db8a786,13782.092519326,0.006025623865317761
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0x87cc852bc2174e2adba2692ce93d2003b52b4ae0,10506.768,0.004593629880178244
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xdab3301d07f8c1b748b576701d3e556493eea9a4,8700.0,0.003803698716632053
