token_addr_idx,timestamp,block_number,tx_hash,tx_from,tx_to,evt_idx,evt_type,evt_log,token0,token1,reserve0,reserve1,lp_total_supply,evt_removed
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,86,Sync,"{'reserve0': 2140691.9963355195, 'reserve1': 188.3915}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2140691.9963355195,188.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,87,Swap,"{'amount0In': 0.0, 'amount1In': 166.88578890537502, 'amount0Out': 16562080.548132235, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2140691.9963355195,188.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,91,Sync,"{'reserve0': 18702772.544467755, 'reserve1': 21.620453027475712}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.620453027475712,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,92,Swap,"{'amount0In': 16562080.548132235, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 166.7710469725243}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.620453027475712,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,95,Sync,"{'reserve0': 2152109.537657546, 'reserve1': 188.3915}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2152109.537657546,188.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,96,Swap,"{'amount0In': 0.0, 'amount1In': 166.7710469725243, 'amount0Out': 16550663.006810209, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2152109.537657546,188.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,100,Sync,"{'reserve0': 18702772.544467755, 'reserve1': 21.735727422037705}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.735727422037705,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,101,Swap,"{'amount0In': 16550663.006810209, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 166.6557725779623}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.735727422037705,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,104,Sync,"{'reserve0': 2163580.0201298287, 'reserve1': 188.3915}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2163580.0201298287,188.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,105,Swap,"{'amount0In': 0.0, 'amount1In': 166.6557725779623, 'amount0Out': 16539192.524337925, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2163580.0201298287,188.3915,20000.0,False
